danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,name
0.646,0.536,-9.157,1,0.0318,0.693,0.11,0.112,119.979,"Laagi Na Choote - Arijit Singh, Shreya Ghoshal"
0.509,0.933,-7.034,1,0.257,0.607,0.0595,0.429,118.871,Hey Ganaraya - Divya Kumar
0.456,0.668,-7.795,0,0.0373,0.604,0.141,0.263,144.062,"Sun Saathiya - Priya Saraiya, Divya Kumar"
0.525,0.382,-10.855,1,0.0351,0.855,0.175,0.27,134.872,Chunar - Arijit Singh
0.552,0.75,-5.215,0,0.039,0.445,0.291,0.4,89.999,Galliyan - Ankit Tiwari
0.657,0.489,-6.829,0,0.0306,0.713,0.124,0.399,116.0,Banjaara - Mohammed Irfan
0.354,0.712,-6.109,0,0.0589,0.358,0.274,0.238,93.345,Zaroorat - Mustafa Zahid
0.322,0.515,-6.908,0,0.0341,0.668,0.0907,0.16,149.912,"Awari - Adnan Dhool, Momina Mustehsan"
0.572,0.541,-6.45,1,0.0245,0.759,0.111,0.266,87.01,Humdard - Arijit Singh
0.378,0.393,-7.495,1,0.0275,0.899,0.102,0.373,169.936,"Galliyan (Unplugged) - Shraddha Kapoor, Ankit Tiwari"
0.726,0.994,-2.433,0,0.0543,0.021,0.222,0.779,129.989,Sadi Gali - Lehmber Hussainpuri
0.757,0.877,-5.045,1,0.0918,0.138,0.0849,0.704,107.981,"Banno (From Tannu Weds Manu Returns) - Brijesh Shandilya, Swati Sharma"
0.854,0.787,-4.473,0,0.0912,0.453,0.213,0.955,103.0,Ghani Bawri (From Tanu Weds Manu Returns) - Jyoti Noora
0.827,0.737,-5.473,0,0.0764,0.0316,0.211,0.873,121.99,"Kar Gayi Chull - Badshah, Amaal Mallik, Fazilpuria, Sukriti Kakar, Neha Kakkar"
0.488,0.403,-7.004,1,0.0272,0.598,0.434,0.495,131.496,"Bolna - Tanishk Bagchi, Arijit Singh, Asees Kaur"
0.644,0.87,-4.816,1,0.0394,0.193,0.549,0.702,125.998,"Buddhu Sa Mann - Amaal Mallik, Armaan Malik"
0.616,0.75,-4.629,1,0.0594,0.172,0.137,0.434,128.051,"Sooraj Dooba Hain - Arijit Singh, Aditi Singh Sharma"
0.535,0.754,-4.77,0,0.0562,0.458,0.302,0.435,143.862,Tu Hai Ki Nahi - Ankit Tiwari
0.423,0.458,-6.884,1,0.0315,0.646,0.108,0.151,135.8,Yaara Re - KK
0.428,0.247,-11.172,0,0.0303,0.972,0.107,0.271,135.754,Tu Hai Ki Nahi (Unplugged) - Tulsi Kumar
0.495,0.654,-6.639,0,0.0679,0.713,0.165,0.35,123.896,"Ae Dil Hai Mushkil Title Track - Pritam, Arijit Singh"
0.552,0.769,-4.504,0,0.0465,0.497,0.112,0.702,86.957,"Bulleya - Pritam, Amit Mishra, Shilpa Rao"
0.476,0.788,-4.821,0,0.0446,0.237,0.106,0.746,90.066,"Channa Mereya - Pritam, Arijit Singh"
0.818,0.93,-2.982,1,0.247,0.33,0.658,0.831,113.988,"The Breakup Song - Pritam, Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz"
0.799,0.929,-3.231,0,0.0668,0.253,0.24,0.952,127.999,"Cutiepie - Pritam, Pardeep Singh Sran, Nakash Aziz"
0.537,0.251,-9.533,1,0.0276,0.899,0.0857,0.288,89.916,"Channa Mereya - Unplugged - Pritam, Arijit Singh"
0.489,0.812,-6.31,0,0.18,0.286,0.0768,0.272,140.043,"Aaj Jane Ki Zid Na Karo - Sohail Rana, Shilpa Rao"
0.682,0.97,-5.332,1,0.0459,0.00591,0.0448,0.959,137.954,"Anjaana Anjaani Ki Kahani - Nikhil D'Souza, Monali Thakur"
0.618,0.765,-5.492,0,0.0661,0.0111,0.122,0.439,104.004,Hairat - Lucky Ali
0.556,0.706,-5.709,1,0.0336,0.335,0.137,0.726,80.008,Aas Paas Khuda - Rahat Fateh Ali Khan
0.7,0.526,-6.246,1,0.0355,0.0981,0.102,0.774,92.015,"Tumse Hi Tumse - Shekhar Ravjiani, Caralisa Monteiro"
0.644,0.423,-8.702,0,0.0324,0.464,0.11,0.509,131.903,"Tujhe Bhula Diya - Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak"
0.636,0.785,-6.876,0,0.0279,0.0262,0.297,0.749,125.974,"I Feel Good - Vishal Dadlani, Shilpa Rao"
0.526,0.639,-6.614,1,0.0322,0.49,0.099,0.214,77.053,"Anjaana Anjaani - Vishal Dadlani, Shilpa Rao"
0.639,0.471,-8.229,0,0.0376,0.507,0.237,0.369,129.796,"Baby Won't You Tell Me (From Saaho) - Alyssa Mendonsa, Ravi Mishra, Shankar Mahadevan, Shankar-Ehsaan-Loy"
0.892,0.848,-4.818,1,0.183,0.242,0.0992,0.523,105.013,"Bad Boy (From Saaho) - Badshah, Neeti Mohan"
0.731,0.668,-6.178,0,0.0638,0.0803,0.0796,0.748,92.242,"Enni Soni (From Saaho) - Guru Randhawa, Tulsi Kumar"
0.785,0.722,-2.604,0,0.158,0.0363,0.452,0.848,189.857,"Psycho Saiyaan (From Saaho) - Sachet Tandon, Dhvani Bhanushali, Tanishk Bagchi"
0.296,0.582,-5.18,0,0.0413,0.449,0.319,0.365,168.4,Bekhayali - Sachet Tandon
0.37,0.467,-6.973,1,0.0411,0.442,0.109,0.162,137.796,Kaise Hua - Vishal Mishra
0.395,0.397,-7.556,1,0.0368,0.735,0.11,0.303,70.568,Tujhe Kitna Chahne Lage - Arijit Singh
0.376,0.643,-5.713,1,0.0411,0.558,0.217,0.646,136.228,"Mere Sohneya - Sachet Tandon, Parampara Tandon"
0.605,0.53,-6.346,1,0.0246,0.821,0.131,0.397,93.95,"Tera Ban Jaunga - Akhil Sachdeva, Tulsi Kumar"
0.552,0.428,-9.433,1,0.0346,0.607,0.115,0.197,131.745,Yeh Aaina - Shreya Ghoshal
0.607,0.713,-5.105,1,0.03,0.56,0.101,0.611,124.868,Pehla Pyaar - Armaan Malik
0.29,0.58,-4.767,0,0.0434,0.491,0.243,0.353,172.396,Bekhayali (Arijit Singh Version) - Arijit Singh
0.73,0.58,-7.976,1,0.124,0.0399,0.0703,0.55,167.915,Dheere Dheere (From Dheere Dheere) - Yo Yo Honey Singh
0.77,0.51,-5.469,0,0.192,0.137,0.0346,0.533,188.067,Blue Eyes (From Blue Eyes) - Yo Yo Honey Singh
0.794,0.878,-7.502,0,0.078,0.00138,0.197,0.352,129.978,"Sunny Sunny (From Yaariyan) - Yo Yo Honey Singh, Neha Kakkar"
0.51,0.612,-7.629,0,0.0372,0.412,0.156,0.193,150.041,"Chal Wahan Jaate Hain - Arijit Singh, Rashmi Virag, Amaal Mallik"
0.403,0.56,-7.46,1,0.0362,0.354,0.125,0.168,155.701,Bezubaan - Anupam Roy
0.653,0.554,-8.156,1,0.0243,0.157,0.172,0.455,99.974,Teri Meri Baatein - Anupam Roy
0.528,0.449,-6.25,0,0.025,0.785,0.122,0.317,94.058,Tum Hi Ho - Arijit Singh
0.394,0.641,-6.493,0,0.0312,0.276,0.0958,0.335,81.932,Sunn Raha Hai - Ankit Tiwari
0.645,0.517,-6.708,0,0.0273,0.522,0.0905,0.259,106.906,"Chahun Main Ya Naa - Palak Muchhal, Arijit Singh"
0.568,0.508,-7.553,1,0.0333,0.737,0.103,0.685,86.03,"Hum Mar Jayenge - Tulsi Kumar, Arijit Singh"
0.383,0.422,-8.219,0,0.0288,0.755,0.119,0.247,188.109,"Meri Aashiqui - Palak Muchhal, Arijit Singh"
0.5,0.588,-7.66,0,0.0362,0.641,0.327,0.35,81.973,"Piya Aaye Na - Tulsi Kumar, KK"
0.515,0.508,-6.66,0,0.0297,0.633,0.203,0.235,131.731,Bhula Dena - Mustafa Zahid
0.549,0.437,-7.169,0,0.0263,0.766,0.133,0.236,93.976,Aasan Nahin Yahan - Arijit Singh
0.482,0.595,-5.336,0,0.0289,0.703,0.136,0.482,82.066,Sunn Raha Hai (Female) - Shreya Ghoshal
0.515,0.707,-5.467,0,0.0426,0.0357,0.134,0.304,143.752,Milne Hai Mujhse Aayi - Arijit Singh
0.72,0.651,-6.844,1,0.0346,0.0774,0.11,0.824,128.023,"Wake Up Sid! - Shankar-Ehsaan-Loy, Shankar Mahadevan, Loy Mendonsa"
0.594,0.548,-7.588,0,0.0267,0.611,0.117,0.374,98.014,"Kya Karoon? - Shankar-Ehsaan-Loy, Clinton Cerejo, Dominique Cerejo, Loy Mendonsa"
0.639,0.617,-8.897,1,0.0329,0.21,0.099,0.405,134.95,"Aaj Kal Zindagi - Shankar-Ehsaan-Loy, Shankar Mahadevan"
0.616,0.525,-7.065,1,0.0258,0.401,0.309,0.427,79.976,"Iktara - Amit Trivedi, Kavita Seth, Amitabh Bhattacharya"
0.638,0.812,-5.622,1,0.0392,0.321,0.282,0.709,139.934,"Life Is Crazy - Shankar-Ehsaan-Loy, Uday Benegal, Shankar Mahadevan, Loy Mendonsa, Alyssa Mendonsa"
0.556,0.701,-6.537,1,0.0346,0.0374,0.122,0.927,139.981,"Wake Up Sid! - Club Mix - Shankar-Ehsaan-Loy, Shankar Mahadevan"
0.847,0.543,-7.933,1,0.082,0.00238,0.0888,0.624,101.955,"Achha Lagta Hai (From Aarakshan) - Shankar-Ehsaan-Loy, Mohit Chauhan, Shreya Ghoshal, Neuman Pinto"
0.426,0.688,-5.25,1,0.0443,0.351,0.0998,0.239,118.586,"Tera Hua (From Loveyatri) - Atif Aslam, Tanishk Bagchi"
0.359,0.972,-3.452,1,0.109,0.136,0.14,0.595,62.914,"Chogada (From Loveyatri) - Darshan Raval, Asees Kaur, Lijo George-Dj Chetas"
0.867,0.705,-3.893,0,0.0522,0.00452,0.0868,0.285,94.985,"Akh Lad Jaave (From Loveyatri) - Badshah, Asees Kaur, Jubin Nautiyal, Tanishk Bagchi"
0.546,0.945,-3.031,1,0.213,0.144,0.0909,0.914,124.524,"Dholida - Udit Narayan, Neha Kakkar, Palak Muchhal, Raja Hasan"
0.716,0.64,-8.726,1,0.025,0.565,0.127,0.485,105.012,"Dil Diyan Gallan - Vishal-Shekhar, Julius Packiam, Atif Aslam, Irshad Kamil"
0.481,0.496,-7.421,1,0.0262,0.588,0.132,0.453,89.839,"O Saathi - Atif Aslam, Arko"
0.799,0.828,-4.846,0,0.0782,0.424,0.145,0.627,105.04,"Dekhte Dekhte (From Batti Gul Meter Chalu) - Atif Aslam, Nusrat Fateh Ali Khan, Rochak Kohli"
0.523,0.768,-4.953,0,0.0566,0.447,0.0833,0.669,75.03,"Paniyon Sa - Rochak Kohli, Atif Aslam, Tulsi Kumar"
0.492,0.959,-3.016,1,0.168,0.173,0.216,0.359,120.049,Doorie - Atif Aslam
0.564,0.745,-3.115,1,0.0365,0.0113,0.175,0.176,134.814,Hum Kis Galli Ja Rahe Hai - Atif Aslam
0.65,0.458,-8.253,1,0.0235,0.821,0.099,0.35,96.973,Kuch Is Tarah - Atif Aslam
0.528,0.726,-6.668,1,0.0343,0.414,0.186,0.479,137.948,Mahi Ve - Atif Aslam
0.517,0.444,-8.355,1,0.0279,0.773,0.111,0.212,78.952,"Tere Liye - Mannan Shaah, Atif Aslam, Akanksha Bhandari"
0.615,0.507,-6.256,1,0.0273,0.378,0.118,0.265,119.911,"Chalte Chalte (From Mitron) - Atif Aslam, Tanishk Bagchi"
0.667,0.621,-5.697,1,0.0271,0.47,0.13,0.451,106.032,"Jab Koi Baat - Recreated - Atif Aslam, Shirley Setia, Dj Chetas"
0.705,0.422,-7.375,1,0.0299,0.793,0.0895,0.482,117.948,"Darasal (From Raabta) - Atif Aslam, Jam8"
0.321,0.432,-7.777,1,0.0304,0.505,0.278,0.366,150.148,"Hoor - Atif Aslam, Sachin-Jigar"
0.479,0.699,-5.125,1,0.0343,0.0226,0.248,0.381,115.133,"Younhi - Atif Aslam, Meekal Hassan"
0.679,0.537,-7.843,1,0.0322,0.844,0.108,0.481,111.979,"Pehli Dafa - Atif Aslam, Shiraz Uppal"
0.341,0.764,-6.703,1,0.0564,0.0156,0.1,0.514,102.039,Tere Sang Yaara - Remix - Atif Aslam
0.436,0.554,-6.635,1,0.0341,0.237,0.116,0.396,100.059,Tajdar-E-Haram Coke Studio Season 8 - Atif Aslam
0.637,0.816,-6.772,1,0.0357,0.0916,0.169,0.536,131.0,"Zindagi Aa Raha Hoon Main - Atif Aslam, Amaal Mallik"
0.677,0.318,-9.196,1,0.028,0.775,0.118,0.585,104.983,Jeena Jeena (From Badlapur) - Atif Aslam
0.704,0.772,-4.353,1,0.0436,0.153,0.147,0.778,97.008,"Cheez Badi (From Machine) - Udit Narayan, Neha Kakkar"
0.721,0.867,-3.652,0,0.0903,0.12,0.123,0.893,102.009,"Coca Cola (From Luka Chuppi) - Tony Kakkar, Neha Kakkar, Young Desi"
0.796,0.978,-1.266,0,0.0955,0.289,0.346,0.8,129.998,"Aankh Marey (From Simmba) - Neha Kakkar, Mika Singh, Kumar Sanu"
0.725,0.912,-3.665,0,0.0851,0.155,0.107,0.674,104.055,"Dilbar (From Satyameva Jayate) - Neha Kakkar, Dhvani Bhanushali, Ikka"
0.811,0.921,-3.152,0,0.117,0.183,0.823,0.756,94.978,"Nikle Currant (From Nikle Currant) - Jassie Gill, Neha Kakkar"
0.841,0.914,-3.917,0,0.0613,0.0958,0.115,0.651,104.015,"Main Tera Boyfriend (From Raabta) - Arijit Singh, Neha Kakkar, Meet Bros."
0.562,0.519,-8.744,1,0.0326,0.557,0.172,0.415,122.925,"Agar Tum Saath Ho (From Tamasha) - Alka Yagnik, Arijit Singh"
0.362,0.378,-11.008,1,0.0329,0.679,0.091,0.575,87.549,"Kun Faya Kun (From Rockstar) - A.R. Rahman, Javed Ali, Mohit Chauhan"
0.507,0.741,-7.456,0,0.0535,0.414,0.107,0.492,132.903,"Nadaan Parinde (From Rockstar) - A.R. Rahman, Mohit Chauhan"
0.554,0.882,-5.018,0,0.0488,0.091,0.368,0.627,96.958,Saadda Haq (From Rockstar) - Mohit Chauhan
0.792,0.63,-6.741,1,0.0682,0.102,0.0758,0.659,100.022,Matargashti (From Tamasha) - Mohit Chauhan
0.499,0.541,-10.463,1,0.0448,0.744,0.0579,0.381,81.198,"Tu Hai (From Mohenjo Daro) - A.R. Rahman, Sanah Moidutty"
0.595,0.624,-10.943,0,0.0603,0.0925,0.114,0.647,170.001,Guzarish (From Ghajini) - Javed Ali
0.604,0.72,-7.276,1,0.0603,0.571,0.12,0.528,130.995,Maahi Ve (From Highway) - A.R. Rahman
0.678,0.622,-7.988,0,0.0695,0.138,0.122,0.535,100.005,Masakali (From Delhi-6) - Mohit Chauhan
0.643,0.458,-11.502,0,0.0594,0.327,0.0966,0.73,82.041,Rehna Tu - A.R. Rahman
0.59,0.414,-12.391,1,0.0346,0.781,0.146,0.292,82.002,"Kaise Mujhe (From Ghajini) - Benny Dayal, Shreya Ghoshal"
0.686,0.707,-5.906,1,0.0255,0.459,0.343,0.495,99.99,"Tu Meri Dost Hain (From Yuvvraaj) - Benny Dayal, Shreya Ghoshal, A.R. Rahman"
0.649,0.667,-10.684,1,0.0637,0.267,0.11,0.207,93.019,Behene De (From Raavan) - Karthik
0.492,0.381,-9.734,1,0.0288,0.741,0.108,0.0965,130.088,"O Sona Tere Liye (From Mom) - A.R. Rahman, Shashaa Tirupati"
0.694,0.767,-7.039,0,0.0612,0.0511,0.161,0.725,130.982,Patakha Guddi (Male Version) [From Highway] - A.R. Rahman
0.734,0.355,-10.605,0,0.083,0.296,0.124,0.584,193.922,Genda Phool (From Delhi-6) - Rekha Bhardwaj
0.581,0.71,-4.961,0,0.0374,0.395,0.137,0.755,111.969,"Sanam Re - Mithoon, Arijit Singh"
0.54,0.705,-6.731,1,0.0354,0.688,0.297,0.373,104.973,"Gazab Ka Hain Yeh Din - Arijit Singh, Amaal Mallik"
0.495,0.729,-6.453,0,0.103,0.6,0.0993,0.683,155.892,"Hua Hain Aaj Pehli Baar - Amaal Mallik, Armaan Malik, Palak Muchhal"
0.468,0.91,-3.057,0,0.051,0.12,0.271,0.694,163.842,"Zara Sa - Pritam, KK"
0.677,0.837,-4.814,0,0.0646,0.237,0.115,0.829,111.934,"Judai - Pritam, Kamran Ahmed"
0.649,0.792,-5.576,0,0.0453,0.0623,0.0646,0.733,112.086,"Lambi Judai - Pritam, Richa Sharma"
0.61,0.888,-4.8,0,0.0435,0.00716,0.0884,0.548,128.024,"Jannat Jahan - Pritam, Rupam Islam"
0.621,0.859,-4.673,1,0.102,0.546,0.11,0.873,90.047,"Tu Hi Mera - Pritam, Shafqat Amanat Ali"
0.58,0.846,-3.464,1,0.0523,0.592,0.113,0.774,89.952,"Tera Deedar Hua - Pritam, Anupam Amod, Rahat Fateh Ali Khan"
0.579,0.712,-6.119,0,0.0308,0.259,0.18,0.486,80.998,"Tujhe Sochta Hoon - Pritam, KK"
0.602,0.559,-6.203,0,0.0426,0.615,0.131,0.44,122.017,"Rab Ka Shukrana - Pritam, Mohit Chauhan"
0.545,0.77,-6.102,1,0.0655,0.308,0.167,0.696,159.975,"Jannatein Kahan - Pritam, KK"
0.577,0.634,-5.597,0,0.0286,0.18,0.186,0.392,80.991,"Sang Hoon Tere - Pritam, Nikhil D'Souza"
0.702,0.773,-4.79,1,0.0618,0.0469,0.171,0.719,133.888,"Sau Tarah Ke - Pritam, Jonita Gandhi, Amit Mishra"
0.84,0.884,-3.217,1,0.334,0.427,0.0885,0.972,118.007,"Afghan Jalebi (Film Version) - Pritam, Akhtar Chinnal"
0.499,0.683,-6.373,0,0.0334,0.703,0.0749,0.295,134.95,"Saware - Pritam, Arijit Singh"
0.565,0.744,-5.817,1,0.0446,0.403,0.0853,0.415,134.068,"Tu Chahiye - Pritam, Atif Aslam"
0.528,0.615,-7.118,1,0.0372,0.491,0.104,0.225,123.988,"Zindagi Kuch Toh Bata (Reprise) - Pritam, Jubin Nautiyal"
0.576,0.591,-7.725,1,0.0332,0.795,0.266,0.478,124.013,"Tu Jo Mila - Pritam, KK"
0.52,0.484,-8.399,1,0.0327,0.228,0.15,0.421,124.136,"Zindagi Kuch Toh Bata - Pritam, Rahat Fateh Ali Khan, Rekha Bhardwaj"
0.813,0.554,-9.105,1,0.04,0.0906,0.0629,0.782,103.953,Dil Chahta Hai - Shankar Mahadevan
0.607,0.526,-9.111,1,0.066,0.0185,0.227,0.341,190.019,"Jaane Kyon Log Pyar - Udit Narayan, Alka Yagnik"
0.786,0.677,-8.624,1,0.183,0.172,0.0446,0.858,94.985,"Woh Ladki Hai Kahan - Shaan, Kavita Krishnamurthy"
0.564,0.612,-9.119,1,0.0312,0.551,0.0915,0.13,126.899,Kaisi Hai Ye Rut - Srinivas
0.749,0.734,-7.058,1,0.0594,0.00166,0.108,0.652,131.975,"Koi Kahe Kehta Rahe - Shankar Mahadevan, Shaan, KK"
0.638,0.413,-10.56,1,0.0602,0.104,0.107,0.145,96.986,Tanhayee - Sonu Nigam
0.848,0.925,-6.161,1,0.0767,0.054,0.209,0.69,105.006,"Rang De Basanti - A.R. Rahman, Daler Mehndi, K. S. Chithra"
0.845,0.686,-6.728,1,0.0781,0.00131,0.129,0.874,146.954,"Masti Ki Paathshala - A.R. Rahman, Naresh Iyer, Mohammed Aslam"
0.789,0.707,-7.973,1,0.109,0.0237,0.177,0.605,97.015,"Khalbali - A.R. Rahman, Nacim, Mohammed Aslam"
0.397,0.247,-13.358,0,0.0427,0.755,0.108,0.121,122.119,"Khoon Chala - A.R. Rahman, Mohit Chauhan"
0.675,0.582,-8.891,1,0.0277,0.661,0.0854,0.538,120.991,"Roobaroo - A.R. Rahman, Naresh Iyer"
0.613,0.47,-8.441,0,0.0344,0.823,0.138,0.459,102.944,Tera Zikr - Darshan Raval
0.337,0.963,-2.93,1,0.296,0.284,0.281,0.405,62.481,"Kamariya - Lijo George, Dj Chetas, Darshan Raval"
0.602,0.554,-6.683,0,0.0332,0.547,0.0871,0.324,139.954,Shab Tum Ho - Darshan Raval
0.537,0.351,-8.937,1,0.0248,0.839,0.108,0.315,67.018,Baarish Lete Aana - Darshan Raval
0.745,0.782,-5.68,0,0.0464,0.459,0.108,0.823,101.039,Do Din - Darshan Raval
0.395,0.393,-9.498,0,0.0317,0.857,0.114,0.274,75.964,Kaash Aisa Hota - Darshan Raval
0.879,0.487,-9.441,1,0.148,0.337,0.0706,0.338,116.991,"Barso Re - A.R. Rahman, Shreya Ghoshal, Uday Mazumdar"
0.744,0.7,-7.663,1,0.0375,0.278,0.068,0.867,144.033,"Tere Bina - A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan"
0.732,0.781,-2.98,0,0.0812,0.357,0.2,0.842,91.907,High Rated Gabru (From High Rated Gabru) - Guru Randhawa
0.787,0.869,-2.965,0,0.0748,0.17,0.207,0.618,95.032,Lahore (From Lahore) - Guru Randhawa
0.762,0.832,-4.765,0,0.0466,0.126,0.106,0.561,100.017,Made In India (From Made In India) - Guru Randhawa
0.643,0.847,-3.166,0,0.168,0.229,0.121,0.779,91.718,"Suit (From Suit) - Guru Randhawa, Arjun"
0.707,0.941,-2.606,0,0.041,0.0173,0.134,0.337,99.013,"Ishare Tere (From Ishare Tere) - Guru Randhawa, Dhvani Bhanushali"
0.579,0.845,-2.089,0,0.276,0.339,0.0939,0.53,175.657,"Patola (From Patola) (feat. Bohemia) - Guru Randhawa, Bohemia"
0.816,0.922,-2.963,0,0.149,0.178,0.373,0.887,95.006,"Morni Banke (From Badhaai Ho) - Guru Randhawa, Neha Kakkar"
0.813,0.692,-4.718,0,0.0577,0.206,0.124,0.487,102.015,Ban Ja Rani (From Tumhari Sulu) - Guru Randhawa
0.812,0.827,-4.278,0,0.0815,0.0656,0.138,0.609,104.986,Daaru Wargi (From Why Cheat India) - Guru Randhawa
0.656,0.721,-5.064,1,0.0364,0.277,0.188,0.883,83.95,"Pee Loon - Pritam, Mohit Chauhan"
0.574,0.841,-4.449,1,0.0948,0.399,0.205,0.927,83.706,"Tum Jo Aaye - Pritam, Rahat Fateh Ali Khan, Tulsi Kumar"
0.703,0.736,-5.089,1,0.0286,0.6,0.2,0.598,129.963,"I Am In Love - Pritam, Karthik"
0.778,0.812,-8.561,0,0.046,0.0573,0.243,0.791,99.962,"Jaane Kyun - Vishal-Shekhar, Vishal Dadlani"
0.746,0.924,-6.057,1,0.0442,0.0169,0.097,0.807,136.051,"Desi Girl - Vishal-Shekhar, Shankar Mahadevan, Sunidhi Chauhan, Vishal Dadlani"
0.622,0.758,-6.641,1,0.11,0.153,0.0622,0.436,90.951,"Khabar Nahi - Vishal-Shekhar, Shreya Ghoshal, Amanat Ali, Vishal Dadlani, Raja Hasan"
0.799,0.784,-5.207,0,0.0519,0.11,0.227,0.26,96.953,"Nashe Si Chadh Gayi - Vishal-Shekhar, Arijit Singh, Jaideep Sahni"
0.704,0.952,-2.331,0,0.0333,0.0408,0.335,0.902,106.99,"Ude Dil Befikre - Vishal-Shekhar, Benny Dayal, Jaideep Sahni"
0.654,0.668,-6.532,1,0.043,0.591,0.105,0.763,121.996,"Je T'aime - Vishal-Shekhar, Vishal Dadlani, Sunidhi Chauhan, Jaideep Sahni"
0.822,0.667,-5.592,1,0.0981,0.0997,0.0552,0.61,94.509,"You And Me - Vishal-Shekhar, Nikhil D'Souza, Rachel Varghese, Jaideep Sahni"
0.806,0.941,-2.298,1,0.141,0.193,0.0601,0.828,94.009,"Khulke Dulke - Vishal-Shekhar, Gippy Grewal, Harshdeep Kaur, Vishal Dadlani, Kunal Ganjawala, Ankur Tewari, Jaideep Sahni"
